Date,Microplastics (integer units; original pieces/mL × 100000000000),Concentration Class,pH,Turbidity (NTU),Size/Volume Ratio,Status
2023-06-07,764,High,7.67,3.8,2.71,Alert
2023-06-08,245,Low,8.38,75.8,4.48,OK
2023-06-09,731,High,7.65,62.4,3.96,Alert
2023-06-10,374,Medium,7.28,70.7,0.84,OK
2023-06-11,636,Medium,7.79,22.1,1.63,OK
2023-06-12,637,Medium,7.42,14.5,1.32,OK
2023-06-13,540,Medium,7.59,2.4,3.75,OK
2023-06-14,99,Low,8.38,35.7,0.26,OK
2023-06-15,837,High,7.27,59.4,2.89,Alert
2023-06-16,328,Medium,8.42,39.8,3.84,OK
2023-06-17,195,Low,8.31,44.3,4.4,OK
2023-06-18,50,Low,6.89,90.5,1.78,OK
2023-06-19,595,Medium,6.64,35.5,4.12,OK
2023-06-20,681,Medium,6.7,51.9,0.64,OK
2023-06-21,26,Low,6.54,78.6,4.25,OK
2023-06-22,517,Medium,6.69,40.3,0.72,OK
2023-06-23,234,Low,7.87,62.6,2.05,OK
2023-06-24,649,Medium,6.64,86.4,4.01,OK
2023-06-25,183,Low,7.14,95.0,0.83,OK
2023-06-26,694,Medium,8.19,15.6,1.22,OK
2023-06-27,393,Medium,6.55,92.7,3.64,OK
2023-06-28,937,High,8.13,49.7,3.63,Alert
2023-06-29,146,Low,7.06,26.6,3.24,OK
2023-06-30,348,Medium,6.74,46.5,3.5,OK
2023-07-01,122,Low,7.89,98.0,2.76,OK
2023-07-02,925,High,7.76,49.8,1.33,Alert
2023-07-03,879,High,8.25,33.5,1.79,Alert
2023-07-04,265,Low,7.97,63.7,0.99,OK
2023-07-05,663,Medium,8.11,24.8,4.55,OK
2023-07-06,819,High,7.06,8.5,2.96,Alert
2023-07-07,560,Medium,6.85,13.8,2.06,OK
2023-07-08,534,Medium,8.0,13.7,2.36,OK
2023-07-09,249,Low,8.11,16.0,4.74,OK
2023-07-10,102,Low,8.48,14.7,0.85,OK
2023-07-11,898,High,7.33,64.4,2.97,Alert
2023-07-12,901,High,7.24,19.0,2.58,Alert
2023-07-13,637,Medium,8.05,35.2,3.1,OK
2023-07-14,346,Medium,7.18,89.8,0.19,OK
2023-07-15,356,Medium,8.36,47.9,4.37,OK
2023-07-16,729,High,8.22,67.1,4.67,Alert
2023-07-17,898,High,7.36,18.1,2.87,Alert
2023-07-18,888,High,8.0,20.0,3.51,Alert
2023-07-19,782,High,8.01,5.0,4.62,Alert
